,label,count,mean,std,min,25%,50%,75%,max
0,case,249782.0,1.230738,0.46938,-0.89427,0.914225,1.230538,1.547205,3.297106
1,count,249818.0,0.565864,0.469695,-1.451052,0.249004,0.566113,0.882529,2.688958
